Name,Episode,Sentence
608d2a5d28b7269738c3ed10,608d286e28b7269738c3ed0a,You should consider yourself lucky. At least your balls won't freeze off.
608d2a5d28b7269738c3ed11,608d286e28b7269738c3ed0a,"You take great offense at dwarf jokes, but love telling eunuch jokes. Why is that?"
608d2a5d28b7269738c3ed10,608d286e28b7269738c3ed0a,"Because I have balls, and you don't."
608d2a5d28b7269738c3ed12,608d286e28b7269738c3ed0a,I warned you. Northerners don't much trust outsiders.
608d2a5d28b7269738c3ed12,608d286e28b7269738c3ed0a,Look at you.
608d2a5d28b7269738c3ed12,608d286e28b7269738c3ed0a,You're a man.
608d2a5d28b7269738c3ed13,608d286e28b7269738c3ed0a,Almost.
608d2a5d28b7269738c3ed12,608d286e28b7269738c3ed0a,Where's Arya?
608d2a5d28b7269738c3ed14,608d286e28b7269738c3ed0a,Lurking somewhere.
608d2a5d28b7269738c3ed12,608d286e28b7269738c3ed0a,"Queen Daenerys of House Targaryen. My sister, Sansa Stark, the Lady of Winterfell."
608d2a5d28b7269738c3ed15,608d286e28b7269738c3ed0a,"Thank you for inviting us into your home, Lady Stark. The North is as beautiful as your brother claimed, as are you."
608d2a5d28b7269738c3ed14,608d286e28b7269738c3ed0a,"Winterfell is yours, Your Grace."
608d2a5d28b7269738c3ed13,608d286e28b7269738c3ed0a,We don't have time for all this. The Night King has your dragon.
608d2a5d28b7269738c3ed13,608d286e28b7269738c3ed0a,"He's one of them now. The Wall has fallen, the dead march south."
608d2a5d28b7269738c3ed14,608d286e28b7269738c3ed0a,"As soon as we heard about the Wall, I called all our banners to retreat to Winterfell. Lord Umber when can we expect your people to arrive?"
608d2a5d28b7269738c3ed16,608d286e28b7269738c3ed0a,"We need more horses and wagons, if it please my lady."
608d2a5d28b7269738c3ed16,608d286e28b7269738c3ed0a,And my lord.
608d2a5d28b7269738c3ed16,608d286e28b7269738c3ed0a,And my queen. Sorry.
608d2a5d28b7269738c3ed14,608d286e28b7269738c3ed0a,You'll have as many as we can spare. Hurry back to Last Hearth and bring your people here.
608d2a5d28b7269738c3ed12,608d286e28b7269738c3ed0a,We need to send ravens to the Night's Watch as well. There's no sense in manning the castles anymore. We make our stand here.
608d2a5d28b7269738c3ed17,608d286e28b7269738c3ed0a,"At once, Your Grace."
608d2a5d28b7269738c3ed18,608d286e28b7269738c3ed0a,Your Grace.
608d2a5d28b7269738c3ed19,608d286e28b7269738c3ed0a,But you're not. Are you? You left Winterfell a king and came back a- I'm not sure what you are now.
608d2a5d28b7269738c3ed19,608d286e28b7269738c3ed0a,A lord? Nothing at all?
608d2a5d28b7269738c3ed12,608d286e28b7269738c3ed0a,It's not important.
608d2a5d28b7269738c3ed19,608d286e28b7269738c3ed0a,Not important? We named you King in the North.
608d2a5d28b7269738c3ed1a,608d286e28b7269738c3ed0a,King of the North!
608d2a5d28b7269738c3ed12,608d286e28b7269738c3ed0a,"You did, my lady. It was the honor of my life. I'll always be grateful for your faith. But when I left Winterfell, I told you we need allies or we will die. I have brought those allies home to fight alongside us. I had a choice, keep my crown or protect the North. I chose the North."
608d2a5d28b7269738c3ed10,608d286e28b7269738c3ed0a,"If anyone survives the war to come, we'll have Jon Snow to thank. He risked his life to show us the threat is real. Thanks to his courage, we have brought with us the greatest army the world has ever seen. We have brought two full-grown dragons. And soon, the Lannister army will ride north to join our cause."
608d2a5d28b7269738c3ed10,608d286e28b7269738c3ed0a,"I know, I know, our people haven't been friends in the past. But we must fight together now or die."
608d2a5d28b7269738c3ed14,608d286e28b7269738c3ed0a,"May I ask, how are we meant to feed the greatest army the world has ever seen? While I ensured our stores would last through winter, I didn't account for Dothraki, Unsullied and two full-grown dragons. What do dragons eat, anyway?"
608d2a5d28b7269738c3ed15,608d286e28b7269738c3ed0a,Whatever they want.
608d2a5d28b7269738c3ed1b,608d286e28b7269738c3ed0a,"Hey, careful, lads. We need every last bit of it."
608d2a5d28b7269738c3ed1a,608d286e28b7269738c3ed0a,Sorry 'bout that.
608d2a5d28b7269738c3ed1b,608d286e28b7269738c3ed0a,Are these the last of the wagons?
